project_name_en,ejari_property_sub_type_en,average_prices_per_development
AUROR RESIDENCE 2,1bed room+Hall,42276.260869565216
AUROR RESIDENCE 2,2 bed rooms+hall,52794.86
AUROR RESIDENCE 2,Shop,71745.45454545454
AUROR RESIDENCE 2,Studio,33186.17391304348
AURORA RESIDENCE 1,1bed room+Hall,35293.22131147541
AURORA RESIDENCE 1,2 bed rooms+hall,47992.77272727273
AURORA RESIDENCE 1,4 bed rooms+hall,89453.0
AURORA RESIDENCE 1,Studio,23587.305555555555
AVANOS,1bed room+Hall,79572.0
AVANTI TOWER,1bed room+Hall,68412.26063829787
AVANTI TOWER,2 bed rooms+hall,100637.27272727272
AVANTI TOWER,3 bed rooms+hall,126875.0
AVANTI TOWER,Hotel,56194.82352941176
AVANTI TOWER,Shop,102334.4
AVANTI TOWER,Studio,48481.35294117647
AVENUE RESIDENCE Three,1bed room+Hall,47616.4128440367
AVENUE RESIDENCE Three,2 bed rooms+hall,67994.64682539682
AVENUE RESIDENCE Three,3 bed rooms+hall,94074.62295081967
AVENUE RESIDENCE Three,Shop,90000.0
AVENUE RESIDENCE1,1bed room+Hall,60918.426666666666
AVENUE RESIDENCE1,2 bed rooms+hall,79479.62085308057
AVENUE RESIDENCE1,3 bed rooms+hall,94187.99224806202
AXIS  RESIDENCES 1,1bed room+Hall,43739.71190716448
AXIS  RESIDENCES 1,Studio,32523.6
AXIS RESIDENCES 2,1bed room+Hall,42888.049212598424
AXIS RESIDENCES 2,2 bed rooms+hall,59963.25
AXIS RESIDENCES 20,1bed room+Hall,43704.290748898675
AXIS RESIDENCES 20,2 bed rooms+hall,64813.268398268396
AXIS RESIDENCES 20,Shop,278117.5
AXIS RESIDENCES 20,Studio,28271.964788732395
AXIS RESIDENCES 3,1bed room+Hall,42538.75474083439
AXIS RESIDENCES 4,1bed room+Hall,803273.668681983
AXIS RESIDENCES 4,2 bed rooms+hall,48662.42857142857
AXIS RESIDENCES 5,1bed room+Hall,40818.81586021505
AXIS RESIDENCES 6,1bed room+Hall,45164.76068376069
AXIS RESIDENCES 6,2 bed rooms+hall,43450.0
AXIS RESIDENCES 7,1bed room+Hall,41232.235173824134
AXIS RESIDENCES 7,2 bed rooms+hall,58305.07092198582
AXIS RESIDENCES 8,1bed room+Hall,44611.62783171521
AXIS SILVER,1bed room+Hall,43546.47042253521
AYKON CITY,1bed room+Hall,110000.0
AYKON CITY,2 bed rooms+hall,120000.0
AYKON CITY,Hotel,99857.14285714286
AYKON CITY,Shop,677296.0
AYKON CITY 2,1bed room+Hall,76628.81578947368
AYKON CITY 2,2 bed rooms+hall,115642.59701492537
AYKON CITY 2,3 bed rooms+hall,186000.0
AYKON CITY 2,Shop,661440.0
AYKON CITY 2,Studio,62586.35135135135
AZIZI. DAISY,1bed room+Hall,52381.735714285714
